id;distances_Q1;distances_Q2;distances_Q3;distances_Q4
1008004; 12358,3978;25663,9961;47366,4998; 26475,64956
1060008; 63695,1875;    0,0000;14886,2978; 41773,05662
1076001; 45363,6730; 8359,4278; 1016,8267; 17376,49213
1076005; 74988,1236; 3412,9173;    0,0000;     0,00000
1002003; 53744,0701;16301,4210;    0,0000; 11342,53580
1002005; 43951,1377;17357,9861;    0,0000; 17277,43333
1076003;     0,0000;15088,0794;33329,7784;     0,00000
1076007; 50261,1039;    0,0000; 9214,4585;     0,00000
1059005;     0,0000;    0,0000; 4790,7849;  6628,01820
1059002;     0,0000;    0,0000;10938,4749;     0,00000
1062005;  3199,2280;19362,0425;    0,0000; 11659,32005
1062007;  9421,8391;15616,0530;17860,4811;     0,00000
1059007;  8114,9500;    0,0000;    0,0000;     0,00000
1062001;     0,0000;14087,1072;26332,3496;     0,00000
1057005; 52837,5552; 5514,7733;31257,4397;     0,00000
1055006; 66636,4676;    0,0000;13828,5877;  9695,09980
1055004; 32156,3765;23452,8507; 8103,4747; 26543,13262
1051003; 58456,4417; 4725,9903;23145,6239;     0,00000
1051001; 53609,7906;10231,0544;13822,6407;     0,00000
1014002;145361,8583;19538,1656; 5191,1621;     0,00000
1014006;183960,7271;    0,0000;    0,0000; 23985,53842
1050001;144749,0431;    0,0000;17847,3368; 32722,23883
1078008;  2298,4803;    0,0000; 1268,4966;  7436,49187
1078007;  4068,1910;    0,0000;11624,1621; 15810,61336
1027002; 54544,2953;10845,3129;    0,0000; 36025,83318
1027001; 97473,8559;    0,0000;15582,9375; 11348,35905
1027004; 65855,2391; 2741,3094;    0,0000; 12586,26547
1057007; 34293,9925; 3271,0577;53047,0272; 35889,29180
1057006; 49008,6423;15506,9540;38985,0555;  9237,81733
1057002; 60375,6450;11786,5835;53167,1151;  8827,65122
1057008; 47349,9218;    0,0000;40478,3639; 22254,45006
1057009; 28734,5419;    0,0000;34818,5185; 13518,43462
1078004;     0,0000; 2442,1324;14561,7720; 10072,88080
1051005; 60422,1882;20354,7568;27554,2919; 15852,03235
1008006; 32286,2699;10327,6255;47187,9573; 18037,85131
1008001; 29132,4004;30826,5683;28272,4430; 15349,87486
1008005;  3383,9475;33538,0517;43866,7996;     0,00000
1055002; 51007,3045;26813,5533;10013,3596; 17081,39671
1028004; 47016,1170;    0,0000;24379,7482; 12786,44934
1078005; 30181,6392;14647,8207;19288,5510; 25740,51536
1061005;108160,6595;    0,0000;32154,0299; 19794,48315
1014004;118793,8238;15351,3628;13629,0524;     0,00000
1051002; 43034,4858;    0,0000;10509,2321; 15511,84059
1027005; 83198,0553;    0,0000;16222,9711; 12091,20393
